Date,Product,Category,Region,Country,City,Budget,Actuals,Channel,Quarter,Month
2024-07-01,Property Listing Platform,Facility Management,Europe,Germany,Essen,196337,247456,Retail,2024-Q3,2024-07
2024-07-01,Building Design Software,Property Management,North America,Canada,Toronto,160226,149956,Mobile App,2024-Q3,2024-07
2024-07-01,Energy Management Solution,Real Estate Technology,Asia Pacific,Australia,Newcastle,88930,72263,Wholesale,2024-Q3,2024-07
2024-07-01,Property Listing Platform,Investment Properties,North America,Mexico,León,189522,189267,Retail,2024-Q3,2024-07
2024-07-01,Property Listing Platform,Real Estate Technology,North America,Mexico,Puebla,198882,190037,Retail,2024-Q3,2024-07
2024-07-01,Construction Project Management,Construction Services,Europe,France,Paris,217330,175018,Direct Sales,2024-Q3,2024-07
2024-07-01,Construction Equipment Rental,Property Management,North America,Mexico,Puebla,268660,284313,Direct Sales,2024-Q3,2024-07
2024-07-01,Building Design Software,Investment Properties,North America,Canada,Edmonton,222756,254001,Partner,2024-Q3,2024-07
2024-07-01,Energy Management Solution,Facility Management,North America,Canada,Hamilton,237852,205588,Retail,2024-Q3,2024-07
2024-07-01,Real Estate CRM Platform,Construction Services,Asia Pacific,Japan,Kyoto,333428,345034,Direct Sales,2024-Q3,2024-07
2024-07-01,Property Valuation Service,Facility Management,North America,Canada,Mississauga,154421,158099,Mobile App,2024-Q3,2024-07
2024-07-01,Smart Building System,Facility Management,Europe,France,Paris,100427,110333,Online,2024-Q3,2024-07
2024-07-01,Energy Management Solution,Investment Properties,North America,Canada,Montreal,211822,258232,Retail,2024-Q3,2024-07
2024-07-01,Commercial Property Investment,Property Management,Asia Pacific,Australia,Canberra,104201,95546,Mobile App,2024-Q3,2024-07
2024-07-01,Building Design Software,Investment Properties,North America,United States,New York,125074,133294,Retail,2024-Q3,2024-07
2024-07-01,Property Management Software,Facility Management,North America,United States,Chicago,200791,196777,Online,2024-Q3,2024-07
2024-07-01,Property Valuation Service,Investment Properties,Asia Pacific,Japan,Sapporo,55997,39210,Partner,2024-Q3,2024-07
2024-07-01,Tenant Screening Service,Property Management,North America,United States,San Diego,158603,163540,Online,2024-Q3,2024-07
2024-07-01,Energy Management Solution,Facility Management,North America,Canada,Mississauga,207646,225322,Partner,2024-Q3,2024-07
2024-07-01,Property Management Software,Property Management,Europe,United Kingdom,Leeds,273952,318366,Retail,2024-Q3,2024-07
2024-07-01,Tenant Screening Service,Facility Management,Asia Pacific,Singapore,West,205218,151084,Online,2024-Q3,2024-07
2024-07-01,Construction Equipment Rental,Property Management,Europe,United Kingdom,Cardiff,154167,187075,Partner,2024-Q3,2024-07
2024-07-02,Facility Maintenance Service,Construction Services,Asia Pacific,Japan,Sapporo,106969,107917,Direct Sales,2024-Q3,2024-07
2024-07-02,Property Listing Platform,Property Management,North America,United States,San Antonio,303100,312883,Retail,2024-Q3,2024-07
2024-07-02,Construction Project Management,Facility Management,North America,Mexico,Puebla,227745,197372,Retail,2024-Q3,2024-07
2024-07-02,Energy Management Solution,Construction Services,Europe,United Kingdom,Glasgow,284586,343754,Retail,2024-Q3,2024-07
2024-07-02,Energy Management Solution,Facility Management,North America,Canada,Edmonton,196248,262795,Mobile App,2024-Q3,2024-07
2024-07-02,Commercial Property Investment,Property Management,North America,United States,San Diego,196832,202199,Retail,2024-Q3,2024-07
2024-07-02,Construction Project Management,Facility Management,North America,Canada,Montreal,186585,194070,Wholesale,2024-Q3,2024-07
