Date,Product,Category,Region,Country,City,Budget,Actuals,Channel,Quarter,Month
2025-05-01,Skills Training Workshop,Assessment Tools,Asia Pacific,Japan,Yokohama,132853,151458,Wholesale,2025-Q2,2025-05
2025-05-01,Educational Video Series,Educational Content,North America,United States,Dallas,134660,186510,Partner,2025-Q2,2025-05
2025-05-01,Interactive Course Content,Research Platforms,Europe,Germany,Leipzig,246745,201418,Retail,2025-Q2,2025-05
2025-05-01,Virtual Classroom Software,Assessment Tools,Europe,United Kingdom,Cardiff,159534,134390,Wholesale,2025-Q2,2025-05
2025-05-02,Professional Certification Program,Educational Content,Europe,France,Strasbourg,199612,255890,Partner,2025-Q2,2025-05
2025-05-02,Educational Analytics Platform,Research Platforms,North America,Mexico,Guadalajara,362977,258487,Direct Sales,2025-Q2,2025-05
2025-05-02,Language Learning App,Research Platforms,North America,Mexico,Puebla,210058,287200,Wholesale,2025-Q2,2025-05
2025-05-03,Virtual Classroom Software,Educational Content,North America,Mexico,Chihuahua,262340,222899,Partner,2025-Q2,2025-05
2025-05-04,Interactive Course Content,Research Platforms,Europe,France,Strasbourg,152617,195142,Partner,2025-Q2,2025-05
2025-05-04,Online Learning Platform,Assessment Tools,Asia Pacific,Australia,Canberra,198304,264020,Direct Sales,2025-Q2,2025-05
2025-05-04,Professional Certification Program,Research Platforms,Europe,France,Toulouse,82812,114158,Mobile App,2025-Q2,2025-05
2025-05-04,Educational Video Series,Educational Content,North America,Mexico,Puebla,93505,129807,Wholesale,2025-Q2,2025-05
2025-05-04,Language Learning App,Training Programs,North America,Canada,Calgary,116537,141359,Online,2025-Q2,2025-05
2025-05-04,Corporate Training Program,Research Platforms,Europe,United Kingdom,London,120257,141648,Partner,2025-Q2,2025-05
2025-05-04,Student Assessment Tool,Research Platforms,Europe,Germany,Düsseldorf,182244,243965,Direct Sales,2025-Q2,2025-05
2025-05-05,STEM Education Kit,Research Platforms,North America,Canada,Calgary,384906,336088,Retail,2025-Q2,2025-05
2025-05-05,Skills Training Workshop,Assessment Tools,North America,Canada,Ottawa,148148,117998,Online,2025-Q2,2025-05
2025-05-05,STEM Education Kit,Learning Management,Europe,United Kingdom,Liverpool,190836,210845,Mobile App,2025-Q2,2025-05
2025-05-05,Corporate Training Program,Training Programs,Europe,United Kingdom,Sheffield,174442,179210,Partner,2025-Q2,2025-05
2025-05-05,Interactive Course Content,Educational Content,North America,Canada,Hamilton,111874,111743,Partner,2025-Q2,2025-05
2025-05-06,Skills Training Workshop,Learning Management,Europe,Germany,Frankfurt,107980,92590,Partner,2025-Q2,2025-05
2025-05-06,Interactive Course Content,Assessment Tools,Europe,France,Marseille,183068,231900,Wholesale,2025-Q2,2025-05
2025-05-06,Online Learning Platform,Learning Management,Europe,United Kingdom,Edinburgh,119153,149886,Direct Sales,2025-Q2,2025-05
2025-05-07,Exam Proctoring System,Educational Content,Europe,France,Strasbourg,258146,234919,Retail,2025-Q2,2025-05
2025-05-07,Educational Video Series,Learning Management,North America,Canada,Hamilton,222936,172398,Wholesale,2025-Q2,2025-05
2025-05-07,Interactive Course Content,Learning Management,North America,Canada,Hamilton,219525,302219,Online,2025-Q2,2025-05
2025-05-07,STEM Education Kit,Learning Management,Europe,Germany,Stuttgart,244480,182416,Retail,2025-Q2,2025-05
2025-05-07,Library Management System,Training Programs,North America,United States,San Diego,81891,114632,Online,2025-Q2,2025-05
2025-05-08,Student Assessment Tool,Research Platforms,North America,United States,Dallas,143496,149151,Partner,2025-Q2,2025-05
2025-05-08,Professional Certification Program,Research Platforms,North America,Mexico,Chihuahua,232778,285121,Online,2025-Q2,2025-05
2025-05-08,Language Learning App,Learning Management,North America,Mexico,Mexico City,110721,150885,Mobile App,2025-Q2,2025-05
2025-05-09,Interactive Course Content,Learning Management,North America,Canada,Toronto,140301,161498,Partner,2025-Q2,2025-05
2025-05-10,Student Assessment Tool,Assessment Tools,North America,Canada,Toronto,280942,210671,Partner,2025-Q2,2025-05
2025-05-11,Virtual Classroom Software,Research Platforms,Europe,United Kingdom,Liverpool,206355,170510,Partner,2025-Q2,2025-05
2025-05-11,Corporate Training Program,Educational Content,Asia Pacific,Singapore,Central,259522,321359,Direct Sales,2025-Q2,2025-05
2025-05-11,Corporate Training Program,Research Platforms,Europe,United Kingdom,Edinburgh,168412,138101,Direct Sales,2025-Q2,2025-05
2025-05-11,Professional Certification Program,Educational Content,Asia Pacific,Japan,Kyoto,172272,188041,Partner,2025-Q2,2025-05
2025-05-11,Skills Training Workshop,Educational Content,North America,Canada,Ottawa,161043,212046,Direct Sales,2025-Q2,2025-05
2025-05-12,Virtual Classroom Software,Educational Content,North America,Canada,Montreal,161780,222517,Mobile App,2025-Q2,2025-05
2025-05-13,Academic Research Database,Training Programs,Asia Pacific,Australia,Wollongong,171361,183127,Mobile App,2025-Q2,2025-05
2025-05-13,Educational Analytics Platform,Learning Management,Europe,Germany,Frankfurt,161761,114415,Direct Sales,2025-Q2,2025-05
2025-05-13,Academic Research Database,Research Platforms,North America,United States,Chicago,147601,107930,Mobile App,2025-Q2,2025-05
2025-05-13,Educational Analytics Platform,Research Platforms,Asia Pacific,Japan,Kawasaki,260226,219976,Direct Sales,2025-Q2,2025-05
2025-05-13,Exam Proctoring System,Assessment Tools,Asia Pacific,Australia,Adelaide,190582,210527,Partner,2025-Q2,2025-05
2025-05-14,Student Assessment Tool,Learning Management,Europe,United Kingdom,Liverpool,89172,66364,Online,2025-Q2,2025-05
2025-05-15,Exam Proctoring System,Educational Content,North America,Canada,Ottawa,180835,145250,Partner,2025-Q2,2025-05
2025-05-15,Library Management System,Learning Management,Europe,United Kingdom,London,144019,152302,Direct Sales,2025-Q2,2025-05
2025-05-16,Corporate Training Program,Training Programs,Europe,United Kingdom,Sheffield,234015,185560,Retail,2025-Q2,2025-05
2025-05-16,Virtual Classroom Software,Research Platforms,Asia Pacific,Singapore,East,201253,209862,Mobile App,2025-Q2,2025-05
