Date,Product,Category,Region,Country,City,Budget,Actuals,Channel,Quarter,Month
2024-06-01,Compliance Management Software,Banking Solutions,North America,Mexico,Mexico City,407974,476064,Retail,2024-Q2,2024-06
2024-06-02,Wealth Management Platform,Risk Management,Europe,Germany,Leipzig,264922,226465,Wholesale,2024-Q2,2024-06
2024-06-02,Digital Banking Platform,Risk Management,North America,Canada,Calgary,282617,211041,Partner,2024-Q2,2024-06
2024-06-02,Digital Wallet Solution,Payment Processing,North America,Mexico,Chihuahua,397691,487026,Retail,2024-Q2,2024-06
2024-06-02,Wealth Management Platform,Risk Management,Asia Pacific,Japan,Saitama,148602,166897,Partner,2024-Q2,2024-06
2024-06-02,Financial Planning Software,Banking Solutions,Europe,Germany,Dortmund,271705,228521,Online,2024-Q2,2024-06
2024-06-02,Financial Planning Software,Risk Management,North America,United States,Los Angeles,345976,318983,Partner,2024-Q2,2024-06
2024-06-03,Life Insurance Policy,Banking Solutions,Europe,France,Strasbourg,268060,365611,Retail,2024-Q2,2024-06
2024-06-04,Credit Risk Assessment Tool,Insurance Products,Europe,France,Paris,311816,364153,Direct Sales,2024-Q2,2024-06
2024-06-04,Fraud Detection System,Banking Solutions,Europe,Germany,Frankfurt,442576,603355,Partner,2024-Q2,2024-06
2024-06-04,Wealth Management Platform,Payment Processing,Europe,Germany,Stuttgart,274453,319518,Wholesale,2024-Q2,2024-06
2024-06-05,Digital Banking Platform,Investment Services,Asia Pacific,Australia,Wollongong,416604,516366,Direct Sales,2024-Q2,2024-06
2024-06-05,Investment Portfolio Management,Banking Solutions,North America,Canada,Montreal,289586,353262,Online,2024-Q2,2024-06
2024-06-05,Wealth Management Platform,Investment Services,North America,Canada,Edmonton,333242,322311,Direct Sales,2024-Q2,2024-06
2024-06-07,Retirement Planning Service,Insurance Products,North America,Mexico,Monterrey,280868,329717,Wholesale,2024-Q2,2024-06
2024-06-07,Digital Banking Platform,Banking Solutions,Europe,Germany,Berlin,408448,368088,Online,2024-Q2,2024-06
2024-06-07,Digital Wallet Solution,Insurance Products,North America,Canada,Quebec City,424553,394297,Retail,2024-Q2,2024-06
2024-06-07,Retirement Planning Service,Investment Services,Asia Pacific,Australia,Canberra,238110,261451,Online,2024-Q2,2024-06
2024-06-08,Property Insurance Package,Banking Solutions,Europe,United Kingdom,Edinburgh,508613,474993,Direct Sales,2024-Q2,2024-06
2024-06-08,Investment Portfolio Management,Risk Management,Europe,Germany,Dortmund,194173,248580,Online,2024-Q2,2024-06
2024-06-08,Payment Gateway Service,Risk Management,North America,Mexico,Chihuahua,438968,412463,Online,2024-Q2,2024-06
2024-06-08,Financial Planning Software,Banking Solutions,North America,United States,Houston,369600,388853,Direct Sales,2024-Q2,2024-06
2024-06-08,Payment Gateway Service,Risk Management,Asia Pacific,Singapore,Central,212217,152351,Direct Sales,2024-Q2,2024-06
2024-06-08,Payment Gateway Service,Insurance Products,Asia Pacific,Australia,Canberra,114153,146414,Mobile App,2024-Q2,2024-06
2024-06-09,Digital Banking Platform,Investment Services,North America,Mexico,Nezahualcóyotl,485493,359670,Direct Sales,2024-Q2,2024-06
2024-06-09,Property Insurance Package,Payment Processing,Europe,United Kingdom,Liverpool,367075,379451,Direct Sales,2024-Q2,2024-06
2024-06-10,Digital Banking Platform,Risk Management,North America,United States,San Diego,566866,423494,Direct Sales,2024-Q2,2024-06
2024-06-10,Investment Portfolio Management,Banking Solutions,Europe,Germany,Essen,663193,912702,Direct Sales,2024-Q2,2024-06
2024-06-10,Trading Analytics Tool,Banking Solutions,North America,Canada,Calgary,313870,321407,Wholesale,2024-Q2,2024-06
2024-06-10,Retirement Planning Service,Insurance Products,Europe,United Kingdom,Birmingham,333679,332370,Direct Sales,2024-Q2,2024-06
2024-06-11,Credit Risk Assessment Tool,Banking Solutions,North America,United States,San Antonio,240030,318463,Online,2024-Q2,2024-06
2024-06-11,Credit Risk Assessment Tool,Risk Management,North America,Canada,Hamilton,216945,194439,Partner,2024-Q2,2024-06
2024-06-12,Retirement Planning Service,Banking Solutions,Europe,France,Toulouse,318656,227208,Partner,2024-Q2,2024-06
2024-06-12,Fraud Detection System,Banking Solutions,North America,Mexico,Puebla,342100,437911,Wholesale,2024-Q2,2024-06
2024-06-12,Fraud Detection System,Banking Solutions,North America,United States,New York,407044,495447,Mobile App,2024-Q2,2024-06
2024-06-12,Wealth Management Platform,Payment Processing,Asia Pacific,Australia,Gold Coast,301664,305545,Retail,2024-Q2,2024-06
2024-06-13,Property Insurance Package,Investment Services,Asia Pacific,Japan,Tokyo,214277,231058,Partner,2024-Q2,2024-06
2024-06-13,Fraud Detection System,Risk Management,Asia Pacific,Australia,Sydney,112710,101360,Online,2024-Q2,2024-06
2024-06-13,Financial Planning Software,Risk Management,Europe,Germany,Dortmund,213117,162441,Mobile App,2024-Q2,2024-06
2024-06-13,Investment Portfolio Management,Payment Processing,Asia Pacific,Australia,Gold Coast,285691,211877,Retail,2024-Q2,2024-06
2024-06-13,Digital Wallet Solution,Investment Services,Europe,United Kingdom,Manchester,464235,422560,Direct Sales,2024-Q2,2024-06
2024-06-13,Payment Gateway Service,Banking Solutions,Asia Pacific,Singapore,Northeast,168436,223885,Wholesale,2024-Q2,2024-06
2024-06-14,Retirement Planning Service,Investment Services,Asia Pacific,Japan,Tokyo,322890,280696,Direct Sales,2024-Q2,2024-06
2024-06-14,Wealth Management Platform,Banking Solutions,North America,Mexico,Tijuana,150210,181219,Wholesale,2024-Q2,2024-06
2024-06-14,Auto Insurance Coverage,Payment Processing,North America,Canada,Winnipeg,273399,241982,Wholesale,2024-Q2,2024-06
2024-06-14,Digital Wallet Solution,Insurance Products,Asia Pacific,Australia,Sunshine Coast,184633,192884,Wholesale,2024-Q2,2024-06
2024-06-15,Property Insurance Package,Insurance Products,Asia Pacific,Australia,Sydney,206219,202557,Partner,2024-Q2,2024-06
2024-06-15,Financial Planning Software,Payment Processing,North America,Mexico,Zapopan,649478,671367,Direct Sales,2024-Q2,2024-06
2024-06-15,Digital Wallet Solution,Investment Services,Asia Pacific,Australia,Canberra,263287,220008,Wholesale,2024-Q2,2024-06
