Date,Product,Category,Region,Country,City,Budget,Actuals,Channel,Quarter,Month
2024-07-01,Professional Certification Program,Learning Management,North America,Canada,Vancouver,418504,430237,Direct Sales,2024-Q3,2024-07
2024-07-01,Exam Proctoring System,Research Platforms,Europe,Germany,Frankfurt,118328,148830,Partner,2024-Q3,2024-07
2024-07-02,Educational Analytics Platform,Learning Management,Asia Pacific,Singapore,East,107062,135689,Partner,2024-Q3,2024-07
2024-07-03,Interactive Course Content,Learning Management,North America,United States,Dallas,202937,205314,Online,2024-Q3,2024-07
2024-07-03,Corporate Training Program,Assessment Tools,North America,Mexico,Chihuahua,82034,101073,Online,2024-Q3,2024-07
2024-07-05,Virtual Classroom Software,Research Platforms,North America,United States,Houston,231284,305487,Direct Sales,2024-Q3,2024-07
2024-07-05,Exam Proctoring System,Assessment Tools,Asia Pacific,Australia,Sydney,180231,170489,Retail,2024-Q3,2024-07
2024-07-06,Language Learning App,Assessment Tools,North America,Mexico,Puebla,154313,141341,Online,2024-Q3,2024-07
2024-07-06,Interactive Course Content,Research Platforms,North America,Canada,Edmonton,126247,130832,Wholesale,2024-Q3,2024-07
2024-07-08,Educational Video Series,Learning Management,Asia Pacific,Australia,Adelaide,294710,352008,Direct Sales,2024-Q3,2024-07
2024-07-08,Interactive Course Content,Educational Content,Asia Pacific,Japan,Kawasaki,86805,94763,Retail,2024-Q3,2024-07
2024-07-08,Corporate Training Program,Educational Content,Europe,France,Paris,258402,314898,Direct Sales,2024-Q3,2024-07
2024-07-09,Language Learning App,Research Platforms,Europe,France,Nantes,154665,109313,Wholesale,2024-Q3,2024-07
2024-07-10,Exam Proctoring System,Training Programs,North America,United States,Dallas,173146,196310,Direct Sales,2024-Q3,2024-07
2024-07-11,Online Learning Platform,Research Platforms,North America,Canada,Mississauga,276101,244353,Direct Sales,2024-Q3,2024-07
2024-07-11,Skills Training Workshop,Research Platforms,North America,United States,San Antonio,254431,281899,Partner,2024-Q3,2024-07
2024-07-12,Professional Certification Program,Educational Content,Europe,United Kingdom,Bristol,159097,119779,Wholesale,2024-Q3,2024-07
2024-07-14,Corporate Training Program,Training Programs,Europe,Germany,Munich,215092,244598,Partner,2024-Q3,2024-07
2024-07-14,STEM Education Kit,Assessment Tools,Europe,United Kingdom,Edinburgh,78761,69756,Mobile App,2024-Q3,2024-07
2024-07-14,Language Learning App,Research Platforms,Asia Pacific,Japan,Fukuoka,66402,67072,Online,2024-Q3,2024-07
2024-07-15,Student Assessment Tool,Learning Management,North America,Mexico,Juárez,161599,116827,Online,2024-Q3,2024-07
2024-07-15,Exam Proctoring System,Training Programs,Europe,United Kingdom,Manchester,225695,243976,Partner,2024-Q3,2024-07
2024-07-16,Online Learning Platform,Training Programs,Asia Pacific,Australia,Sunshine Coast,68663,79991,Retail,2024-Q3,2024-07
2024-07-16,Online Learning Platform,Research Platforms,Europe,Germany,Dortmund,243560,315368,Retail,2024-Q3,2024-07
2024-07-16,Virtual Classroom Software,Training Programs,Asia Pacific,Singapore,North,269908,239602,Direct Sales,2024-Q3,2024-07
2024-07-17,Educational Analytics Platform,Educational Content,Europe,United Kingdom,Sheffield,219930,288983,Direct Sales,2024-Q3,2024-07
2024-07-17,Corporate Training Program,Training Programs,Asia Pacific,Australia,Melbourne,96689,102981,Partner,2024-Q3,2024-07
2024-07-17,Interactive Course Content,Training Programs,North America,Canada,Montreal,278932,316204,Retail,2024-Q3,2024-07
2024-07-17,Educational Analytics Platform,Assessment Tools,Asia Pacific,Singapore,North,261762,248896,Direct Sales,2024-Q3,2024-07
2024-07-18,Academic Research Database,Learning Management,Asia Pacific,Japan,Kobe,129019,127720,Online,2024-Q3,2024-07
2024-07-18,Skills Training Workshop,Training Programs,Asia Pacific,Singapore,West,91598,107904,Retail,2024-Q3,2024-07
2024-07-18,Language Learning App,Learning Management,Europe,Germany,Dortmund,298480,416296,Direct Sales,2024-Q3,2024-07
2024-07-19,STEM Education Kit,Training Programs,North America,United States,San Diego,269745,339308,Online,2024-Q3,2024-07
2024-07-19,Academic Research Database,Learning Management,Europe,Germany,Hamburg,197168,176885,Direct Sales,2024-Q3,2024-07
2024-07-19,Corporate Training Program,Training Programs,Europe,United Kingdom,Liverpool,189584,232105,Direct Sales,2024-Q3,2024-07
2024-07-20,Student Information System,Training Programs,Europe,United Kingdom,Glasgow,261858,200445,Partner,2024-Q3,2024-07
2024-07-20,Interactive Course Content,Educational Content,Europe,Germany,Leipzig,142203,185337,Mobile App,2024-Q3,2024-07
2024-07-22,Corporate Training Program,Training Programs,North America,Canada,Vancouver,298703,318582,Direct Sales,2024-Q3,2024-07
2024-07-23,Academic Research Database,Training Programs,Asia Pacific,Australia,Melbourne,185217,186203,Mobile App,2024-Q3,2024-07
2024-07-23,Student Information System,Assessment Tools,Asia Pacific,Australia,Melbourne,184080,153078,Retail,2024-Q3,2024-07
2024-07-23,Professional Certification Program,Assessment Tools,Asia Pacific,Japan,Fukuoka,108052,93773,Direct Sales,2024-Q3,2024-07
2024-07-25,Interactive Course Content,Training Programs,North America,United States,Philadelphia,92864,102358,Wholesale,2024-Q3,2024-07
2024-07-25,Interactive Course Content,Training Programs,North America,Canada,Quebec City,61256,51155,Wholesale,2024-Q3,2024-07
2024-07-25,Language Learning App,Learning Management,North America,Canada,Mississauga,135677,186684,Online,2024-Q3,2024-07
2024-07-25,STEM Education Kit,Research Platforms,North America,Mexico,León,173530,185319,Direct Sales,2024-Q3,2024-07
2024-07-26,Educational Video Series,Training Programs,Asia Pacific,Singapore,East,134940,167817,Retail,2024-Q3,2024-07
2024-07-26,Virtual Classroom Software,Research Platforms,Asia Pacific,Singapore,West,190780,215303,Direct Sales,2024-Q3,2024-07
2024-07-26,STEM Education Kit,Training Programs,North America,United States,Los Angeles,311113,293790,Partner,2024-Q3,2024-07
2024-07-28,Skills Training Workshop,Assessment Tools,Asia Pacific,Australia,Adelaide,135972,153923,Online,2024-Q3,2024-07
2024-07-28,Exam Proctoring System,Assessment Tools,Asia Pacific,Singapore,Northeast,155819,193084,Online,2024-Q3,2024-07
2024-08-01,Library Management System,Training Programs,Europe,France,Toulouse,72460,71799,Wholesale,2024-Q3,2024-08
2024-08-01,Academic Research Database,Educational Content,North America,United States,Dallas,133555,171994,Online,2024-Q3,2024-08
2024-08-01,Educational Video Series,Assessment Tools,Asia Pacific,Japan,Kobe,85546,92469,Partner,2024-Q3,2024-08
2024-08-02,Interactive Course Content,Learning Management,North America,Mexico,Puebla,158360,168294,Online,2024-Q3,2024-08
2024-08-03,Educational Analytics Platform,Research Platforms,Europe,Germany,Frankfurt,112856,87314,Wholesale,2024-Q3,2024-08
2024-08-04,Online Learning Platform,Training Programs,Asia Pacific,Japan,Osaka,78472,63325,Mobile App,2024-Q3,2024-08
2024-08-04,Academic Research Database,Training Programs,Europe,Germany,Munich,205808,197430,Retail,2024-Q3,2024-08
2024-08-05,STEM Education Kit,Training Programs,Europe,Germany,Frankfurt,103822,129571,Partner,2024-Q3,2024-08
2024-08-05,Educational Video Series,Research Platforms,Asia Pacific,Australia,Canberra,135442,182291,Online,2024-Q3,2024-08
2024-08-06,Library Management System,Research Platforms,North America,United States,Chicago,300950,222988,Retail,2024-Q3,2024-08
2024-08-06,Academic Research Database,Research Platforms,North America,United States,Chicago,277686,343298,Direct Sales,2024-Q3,2024-08
2024-08-06,Professional Certification Program,Assessment Tools,North America,Canada,Quebec City,166865,227016,Wholesale,2024-Q3,2024-08
2024-08-07,Skills Training Workshop,Educational Content,Europe,France,Toulouse,90422,114427,Online,2024-Q3,2024-08
2024-08-07,Student Information System,Educational Content,North America,Canada,Mississauga,160238,182756,Retail,2024-Q3,2024-08
